OID,Organization,OrderID,Position,Enabled
1,1,1,Bishop,1
2,1,2,First Counselor,1
3,1,3,Second Counselor,1
4,1,4,Executive Secretary,1
5,1,5,Clerk,1
6,1,6,Assistant Clerk,1
7,1,7,Assistant Clerk--Membership,1
8,1,8,Assistant Clerk--Finance,1
9,2,1,President,1
10,2,2,First Counselor,1
11,2,3,Second Counselor,1
12,2,4,Secretary,1
13,2,5,Assistant Secretary,1
14,2,6,Instructor,1
15,2,7,Home Teaching District Supervisor,1
16,3,1,Group Leader,1
17,3,2,Group First Assistant,1
18,3,3,Group Second Assistant,1
19,3,4,Group Secretary,1
20,3,5,Group Assistant Secretary,1
21,3,6,Group Instructor,1
22,3,7,Home Teaching District Supervisor,1
23,4,1,President,1
24,4,2,First Counselor,1
25,4,3,Second Counselor,1
26,4,4,Secretary,1
27,4,5,Pianist,1
28,4,6,Music Leader,1
29,4,7,Teacher,1
30,4,8,Nursery Leader,1
31,4,9,Cub Scout Committee Chairman,1
32,4,10,Cub Scout Committee Member,1
33,4,11,Cubmaster,1
34,4,12,Wolf Den Leader,1
35,4,13,Wolf Den Assistant Leader,1
36,4,14,Bear Den Leader,1
37,4,15,Bear Den Assistant Leader,1
38,4,16,Webelos Leader,1
39,4,17,Webelos Assistant Leader,1
40,4,18,Eleven-Year-Old Scout Leader,1
41,4,19,Activity Days Leader,1
42,4,20,Activity Days Assistant Leader,1
43,5,1,President,1
44,5,2,First Counselor,1
45,5,3,Second Counselor,1
46,5,4,Secretary,1
47,5,5,Assistant Secretary,1
48,5,6,Teacher,1
49,5,7,Visiting Teaching Coordinator,1
50,5,8,Visiting Teaching District Supervisor,1
51,5,9,Meeting Coordinator,1
52,5,10,Meeting Committee Member,1
53,5,11,Music Leader,1
54,5,12,Pianist,1
55,5,13,Compassionate Service Coordinator,1
56,5,14,Compassionate Service Assistant Coordinator,1
57,6,1,President,1
58,6,2,First Counselor,1
59,6,3,Second Counselor,1
60,6,4,Secretary,1
61,6,5,Teacher,1
62,6,6,Librarian,1
63,6,7,Assistant Librarian,1
64,7,1,Leader,1
65,7,2,Ward Missionary,1
66,7,3,Missionary - Full Time,1
67,8,1,President,1
68,8,2,First Counselor,1
69,8,3,Second Counselor,1
70,8,4,Secretary,1
71,8,5,Priests Quorum Adviser,1
72,8,6,Priests Quorum Assistant Adviser,1
73,8,7,Teachers Quorum Adviser,1
74,8,8,Teachers Quorum Assistant Adviser,1
75,8,9,Deacons Quorum Adviser,1
76,8,10,Deacons Quorum Assistant Adviser,1
77,8,11,Priests Quorum President,1
78,8,12,Priests Quorum First Assistant,1
79,8,13,Priests Quorum Second Assistant,1
80,8,14,Priests Quorum Secretary,1
81,8,15,Teachers Quorum President,1
82,8,16,Teachers Quorum First Counselor,1
83,8,17,Teachers Quorum Second Counselor,1
84,8,18,Teachers Quorum Secretary,1
85,8,19,Deacons Quorum President,1
86,8,20,Deacons Quorum First Counselor,1
87,8,21,Deacons Quorum Second Counselor,1
88,8,22,Deacons Quorum Secretary,1
89,8,23,Scouting Committee Chairman,1
90,8,24,Scouting Committee Member,1
91,8,25,Scoutmaster,1
92,8,26,Assistant Scoutmaster,1
93,8,27,Executive Officer,1
94,8,28,Chartered Organization Representative,1
95,8,29,Varsity Coach,1
96,8,30,Assistant Varsity Coach,1
97,8,31,Venturing Crew Adviser,1
98,8,32,Assistant Venturing Crew Adviser,1
99,8,33,Stake Youth Committee Member,1
100,8,34,Sports Coach,1
101,9,1,Relief Society Adviser to Young Single Adult Sisters,1
102,9,2,Young Single Adult Adviser,1
103,9,3,Young Single Adult Leader,1
104,10,1,President,1
105,10,2,First Counselor,1
106,10,3,Second Counselor,1
107,10,4,Secretary,1
108,10,5,Laurel Adviser,1
109,10,6,Laurel Assistant Adviser,1
110,10,7,Mia Maid Adviser,1
111,10,8,Mia Maid Assistant Adviser,1
112,10,9,Beehive Adviser,1
113,10,10,Beehive Assistant Adviser,1
114,10,11,Laurel President,1
115,10,12,Laurel First Counselor,1
116,10,13,Laurel Second Counselor,1
117,10,14,Laurel Secretary,1
118,10,15,Mia Maid President,1
119,10,16,Mia Maid First Counselor,1
120,10,17,Mia Maid Second Counselor,1
121,10,18,Mia Maid Secretary,1
122,10,19,Beehive President,1
123,10,20,Beehive First Counselor,1
124,10,21,Beehive Second Counselor,1
125,10,22,Beehive Secretary,1
126,10,23,Music Director,1
127,10,24,Pianist,1
128,10,25,Activity Specialist,1
129,10,26,Camp Director,1
130,10,27,Assistant Camp Director,1
131,10,28,Stake Youth Committee,1
132,10,29,Sports Specialist,1
133,10,30,Assistant Sports Specialist,1
134,11,1,Magazine Representative,1
135,11,2,Disability Specialist,1
136,11,3,Welfare Specialist,1
137,11,4,Employment Specialist,1
138,11,5,Self-Reliance Specialist,1
139,11,6,Addiction Recovery Worker,1
140,11,7,Building Representative,1
141,11,8,Scheduler,1
142,11,9,Family History Leader,1
143,11,10,Family History Consultant,1
144,11,11,Indexing Director,1
145,11,12,Indexing Assistant Director,1
146,11,13,Indexing Worker,1
147,11,14,History Specialist,1
148,11,15,Priesthood Pianist or Organist,1
149,11,16,Priesthood Music Director,1
150,11,17,Choir Accompanist,1
151,11,18,Music Adviser,1
152,11,19,Choir Director,1
153,11,20,Chorister,1
154,11,21,Organist or Pianist,1
155,11,22,Music Director,1
156,11,23,Music Chairman,1
157,11,24,Website Administrator,1
